"","non_event","classI","classII","undefined","nodata","nucleation","V8","Date"
"1",0,0,0,0,1,0,"",2017-12-02
"2",0,0,0,0,1,0,"",2017-12-03
"3",0,0,0,0,1,0,"",2017-12-04
"4",1,0,0,0,0,0,"",2017-12-05
"5",0,0,0,0,1,0,"",2017-12-06
"6",1,0,0,0,0,0,"",2017-12-07
"7",1,0,0,0,0,0,"",2017-12-08
"8",1,0,0,0,0,0,"",2017-12-09
"9",0,0,1,0,0,0,"",2017-12-10
"10",0,1,0,0,0,0,"",2017-12-11
"11",0,0,1,0,0,0,"",2017-12-12
"12",0,0,0,1,0,0,"",2017-12-13
"13",1,0,0,0,0,0,"",2017-12-14
"14",1,0,0,0,0,0,"",2017-12-15
"15",0,0,1,0,0,0,"",2017-12-16
"16",0,0,0,1,0,0,"",2017-12-17
"17",0,0,0,1,0,0,"",2017-12-18
"18",1,0,0,0,0,0,"",2017-12-19
"19",0,0,1,0,0,0,"",2017-12-20
"20",1,0,0,0,0,0,"",2017-12-21
"21",0,0,0,0,1,0,"",2017-12-22
"22",0,0,0,1,0,0,"",2017-12-23
"23",0,0,0,1,0,0,"",2017-12-24
"24",0,0,0,0,1,0,"",2017-12-25
"25",0,0,0,1,0,0,"",2017-12-26
"26",1,0,0,0,0,0,"",2017-12-27
"27",1,0,0,0,0,0,"",2017-12-28
"28",1,0,0,0,0,0,"",2017-12-29
"29",1,0,0,0,0,0,"",2017-12-30
"30",0,1,0,0,0,0,"*",2017-12-31
"31",0,0,1,0,0,0,"",2018-01-01
"32",0,0,1,0,0,0,"",2018-01-02
"33",1,0,0,0,0,0,"",2018-01-03
"34",0,1,0,0,1,0,"",2018-01-04
"35",0,0,0,0,1,0,"",2018-01-05
"36",0,0,0,0,0,1,"",2018-01-06
"37",1,0,0,0,0,0,"",2018-01-07
"38",1,0,0,0,0,1,"",2018-01-08
"39",0,0,0,1,0,1,"",2018-01-09
"40",0,0,0,0,1,0,"",2018-01-10
"41",0,0,0,0,1,0,"",2018-01-11
"42",0,0,0,0,1,0,"",2018-01-12
"43",1,0,0,0,0,0,"",2018-01-13
"44",1,0,0,0,0,0,"",2018-01-14
"45",1,0,0,0,0,0,"",2018-01-15
"46",1,0,0,0,0,0,"",2018-01-16
"47",1,0,0,0,0,1,"",2018-01-17
"48",1,0,0,0,0,1,"",2018-01-18
"49",1,0,0,0,0,1,"",2018-01-19
"50",1,0,0,0,0,0,"",2018-01-20
"51",1,0,0,0,0,1,"",2018-01-21
"52",1,0,0,0,0,1,"",2018-01-22
"53",1,0,0,0,0,1,"",2018-01-23
"54",0,0,0,0,1,0,"",2018-01-24
"55",1,0,0,0,0,1,"*",2018-01-25
"56",0,1,0,0,0,0,"",2018-01-26
"57",1,0,0,0,0,0,"",2018-01-27
"58",0,0,0,0,1,0,"",2018-01-28
"59",0,0,0,0,1,0,"",2018-01-29
"60",0,0,0,0,1,0,"",2018-01-30
"61",0,0,0,0,1,0,"",2018-01-31
"62",0,0,0,0,1,0,"",2018-02-01
"63",0,0,0,0,1,0,"",2018-02-02
"64",0,0,0,0,1,0,"",2018-02-03
"65",0,0,0,0,1,0,"",2018-02-04
"66",0,0,0,0,1,0,"",2018-02-05
"67",0,0,0,0,1,0,"",2018-02-06
"68",0,0,0,0,1,0,"",2018-02-07
"69",0,0,0,0,1,0,"",2018-02-08
"70",0,0,0,0,1,0,"",2018-02-09
"71",0,0,0,0,1,0,"",2018-02-10
"72",0,0,0,0,1,0,"",2018-02-11
"73",0,0,0,0,1,0,"",2018-02-12
"74",0,0,0,0,1,0,"",2018-02-13
"75",0,0,0,0,1,0,"",2018-02-14
"76",0,0,0,0,1,0,"",2018-02-15
"77",1,0,0,0,0,1,"",2018-02-16
"78",1,0,0,0,0,0,"",2018-02-17
"79",0,0,1,0,0,0,"",2018-02-18
"80",0,1,0,0,0,0,"",2018-02-19
"81",0,1,0,0,0,0,"",2018-02-20
"82",0,0,0,0,1,0,"",2018-02-21
"83",0,0,0,0,1,0,"",2018-02-22
"84",0,0,0,0,1,0,"",2018-02-23
"85",0,0,0,0,1,0,"",2018-02-24
"86",0,0,0,0,1,0,"",2018-02-25
"87",0,0,0,0,1,0,"",2018-02-26
"88",0,0,1,0,0,0,"",2018-02-27
"89",1,0,0,0,1,0,"",2018-02-28
"90",1,0,0,0,0,0,"",2018-03-01
"91",1,0,0,0,1,0,"",2018-03-02
"92",1,0,0,0,1,0,"",2018-03-03
"93",1,0,0,0,0,0,"",2018-03-04
"94",1,0,0,0,1,0,"",2018-03-05
"95",1,0,0,0,1,0,"",2018-03-06
"96",1,0,0,0,0,0,"",2018-03-07
"97",1,0,0,0,0,0,"",2018-03-08
"98",1,0,0,0,0,0,"",2018-03-09
"99",1,0,0,0,0,0,"",2018-03-10
"100",1,0,0,0,0,0,"",2018-03-11
"101",0,0,0,1,0,0,"",2018-03-12
"102",1,0,0,0,0,0,"",2018-03-13
"103",1,0,0,0,0,0,"",2018-03-14
"104",1,0,0,0,0,0,"",2018-03-15
"105",0,0,0,1,0,0,"*",2018-03-16
"106",1,0,0,0,0,0,"",2018-03-17
"107",1,0,0,0,0,0,"",2018-03-18
"108",1,0,0,0,0,1,"",2018-03-19
"109",1,0,0,0,0,1,"",2018-03-20
"110",0,0,0,0,1,0,"",2018-03-21
"111",0,0,0,0,1,0,"",2018-03-22
"112",0,0,0,0,1,0,"",2018-03-23
"113",0,0,0,1,0,0,"",2018-03-24
"114",1,0,0,0,0,1,"",2018-03-25
"115",1,0,0,0,0,1,"",2018-03-26
"116",1,0,0,0,0,0,"",2018-03-27
"117",0,0,0,0,1,0,"",2018-03-28
"118",0,1,0,0,0,0,"",2018-03-29
"119",0,0,1,0,0,0,"*",2018-03-30
"120",0,1,0,0,0,0,"",2018-03-31
"121",0,1,0,0,0,0,"",2018-04-01
"122",0,1,0,0,0,0,"",2018-04-02
"123",0,0,1,0,0,0,"",2018-04-03
"124",0,0,1,0,0,0,"*",2018-04-04
"125",0,1,0,0,0,0,"*",2018-04-05
"126",0,1,0,0,0,0,"",2018-04-06
"127",0,1,0,0,0,0,"",2018-04-07
"128",0,0,1,0,0,0,"",2018-04-08
"129",1,0,0,0,0,0,"",2018-04-09
"130",0,0,1,0,0,0,"",2018-04-10
"131",0,1,0,0,0,0,"",2018-04-11
"132",0,1,0,0,0,0,"",2018-04-12
"133",1,0,0,0,0,1,"",2018-04-13
"134",1,0,0,0,0,0,"",2018-04-14
"135",0,1,0,0,0,0,"",2018-04-15
"136",0,1,0,0,0,0,"",2018-04-16
"137",0,1,0,0,0,0,"",2018-04-17
"138",0,0,1,0,0,0,"",2018-04-18
"139",0,0,1,0,0,0,"",2018-04-19
"140",0,1,0,0,0,0,"",2018-04-20
"141",0,1,0,0,0,0,"",2018-04-21
"142",0,0,1,0,0,0,"",2018-04-22
"143",1,0,0,0,0,1,"",2018-04-23
"144",1,0,0,0,0,1,"",2018-04-24
"145",1,0,0,0,0,0,"",2018-04-25
"146",1,0,0,0,0,1,"",2018-04-26
"147",0,0,0,0,1,0,"",2018-04-27
"148",1,0,0,0,0,1,"",2018-04-28
"149",0,1,0,0,0,0,"",2018-04-29
"150",0,1,0,0,0,0,"",2018-04-30
"151",1,0,0,0,0,1,"",2018-05-01
"152",0,0,1,0,0,0,"",2018-05-02
"153",0,1,0,0,0,0,"",2018-05-03
"154",0,0,0,0,1,0,"",2018-05-04
"155",0,0,1,0,0,0,"",2018-05-05
"156",1,0,0,0,0,1,"",2018-05-06
"157",0,1,0,0,0,0,"",2018-05-07
"158",0,0,0,1,0,0,"",2018-05-08
"159",0,0,0,1,0,0,"",2018-05-09
"160",0,1,0,0,0,0,"*",2018-05-10
"161",0,0,1,0,0,0,"",2018-05-11
"162",0,0,1,0,0,0,"",2018-05-12
"163",0,1,0,0,0,0,"",2018-05-13
"164",0,1,0,0,0,0,"",2018-05-14
"165",0,1,0,0,0,0,"",2018-05-15
"166",0,1,0,0,0,0,"",2018-05-16
"167",0,0,1,0,0,0,"",2018-05-17
"168",0,0,1,0,0,0,"",2018-05-18
"169",0,1,0,0,0,0,"",2018-05-19
"170",0,1,0,0,0,0,"",2018-05-20
"171",0,1,0,0,0,0,"",2018-05-21
"172",0,0,1,0,0,0,"",2018-05-22
"173",0,1,0,0,0,0,"",2018-05-23
"174",0,1,0,0,0,0,"",2018-05-24
"175",0,1,0,0,0,0,"",2018-05-25
"176",0,1,0,0,0,0,"",2018-05-26
"177",0,1,0,0,0,0,"",2018-05-27
"178",0,0,1,0,0,0,"",2018-05-28
"179",0,1,0,0,0,0,"*",2018-05-29
"180",0,1,0,0,0,0,"",2018-05-30
"181",0,1,0,0,0,0,"",2018-05-31
"182",0,0,0,0,1,0,"",2018-06-01
